año,NCODI,60_totalCompra,600_producFarma,601_materialSani,601_1_implantes,601_2_restoMateriaSani,606_servContratado,607_trabajoContratado,60X_restoCompras,61_variaExistencias,62_servExteriores,628_sumistro,62X_restoServiExter,64_gastoPersonal,640_sueldos,641_indemnizacion,642_SegSocEmpresa,643_649_OtrGasSocial,68_dotaAmortizacion,69_perdidaDeterioro,6X_restoGasto,tot_compraGasto
2016,242,1174000,409201,533225,402364,130861,0,231574,0,-4922,2230231,51730,2178501,2023133,1592716,0,425459,4958,116747,50354,54989,5644532
2016,490,10295261,4220642,4394056,3152338,1241718,0,1586387,94176,44859,943064,331112,611952,14867232,11758257,978,3107997,0,74913,0,72500,26297829
2016,500,15221339,3682746,2881564,487836,2393728,6650109,1705914,301006,110389,2069242,529247,1539995,10672315,8504436,10772,2154195,2912,1568444,1155077,-49807,30746999
2016,206,3570821,93635,598046,46246,551800,0,2698870,180270,18333,801234,127893,673341,3071645,2439312,0,629583,2750,487827,812092,845041,9606993
2016,58,128882,37983,4617,0,4617,0,34825,51457,-15373,169389,27537,141852,744611,539164,48000,157447,0,5602,0,9087,1042198
2016,572,42280494,18322622,15321804,4364373,10957431,752928,6991002,892138,-135471,4538199,1947838,2590361,87252192,68374731,0,18718775,158686,564686,0,1021577,135521677
2016,180,1488920,76230,461721,32500,429221,267376,517779,165814,11284,1124841,97121,1027720,3944114,2997371,12702,904653,29388,205623,4205,30381,6809368
2016,549,6764276,1972744,2939981,680457,2259524,316084,1184984,350483,40935,1166644,265201,901443,18061996,14561250,0,3500746,0,165677,0,33490,26233018
2016,582,8149075,3892832,3738441,1097624,2640817,0,278548,239254,40778,2822698,291468,2531230,21748319,17423035,,4325284,0,162388,0,22281,32945539
2016,743,62218189,38950537,15185838,14429333,756505,1997538,5606642,477634,13191646,7096808,2546782,4550026,104953273,83438621,0,21258012,256640,1017102,0,1923153,190400171
2016,795,4563349,390014,2503167,582660,1920507,449392,880975,339801,-36300,691031,232091,458940,10542307,8059808,29013,2434174,19312,451844,6514,265286,16484031
2016,269,446540,136997,69349,42336,27013,0,240194,0,28532,964702,964702,0,1220297,947307,0,272990,0,126481,0,0,2786552
2016,634,9027143,2418683,3747322,967474,2779848,0,2861138,0,35328,1687352,354985,1332367,22895728,18148273,0,4747455,0,1224160,0,9617,34879328
2016,1,4433159,940156,1165323,187608,977715,2146477,121345,59858,29118,858117,112991,745126,2941104,2286749,0,645528,8827,59027,103155,566946,8990626
2016,717,14555177,7662659,4531017,1843205,2687812,0,2331807,29694,70684,2656713,962349,1694364,57954818,46570520,0,11260650,123648,0,0,98523,75335915
2016,373,560636,361252,69717,0,69717,59679,62726,7262,7465,1322414,190778,1131636,4669248,3545286,40066,1041567,42329,189773,7429,11253,6768218
2016,535,15049533,7301252,6299326,2138275,4161051,965611,275582,207762,-113276,520042,63190,456852,35445289,28337546,0,7041683,66060,0,0,0,50901588
2016,824,186127306,84393550,78588361,26477530,52110831,7696451,3242639,12206305,-692507,9328796,1532760,7796036,241203932,189784200,91606,50282385,1045741,0,0,590723,436558250
2016,888,7754558,2135276,3300349,762385,2537964,396224,1777750,144959,-10497,1533888,569236,964652,17317988,13492857,134928,3690203,0,387489,0,318656,27302082
2016,902,78675,3922,2448,0,2448,15065,47500,9740,28,51623,17099,34524,338555,264696,91,72510,1258,23811,6514,-14196,485010
2016,968,148000,19742,80574,0,80574,0,47033,651,0,273509,50065,223444,354427,278206,6179,70042,0,137192,0,8662,921790
2016,346,748664,45715,27283,0,27283,14598,528905,132163,-886,377319,214680,162639,3576997,2698703,0,852342,25952,477054,43572,374365,5597085
2016,27,3460824,607759,72696,0,72696,3900,2364849,411620,-2696,1567463,508474,1058989,9232329,6980560,54315,2167170,30284,1672549,0,138362,16068831
2016,165,1434557,544376,132382,51,132331,0,720739,37060,1019,616838,53968,562870,1212607,928578,0,283124,905,61969,89387,47732,3464109
2016,956,36195683,22425112,1615213,931031,684182,2075217,0,10080141,386641,8345090,801695,7543395,76067474,61469673,0,14336215,261586,0,0,130511,121125399
2016,413,619361,97663,34665,0,34665,,417328,69705,0,65200,65200,0,1645318,1114581,0,530737,0,0,0,0,2329879
2016,149,965736,201708,161116,23304,137812,0,602912,0,-627,640112,74998,565114,1188813,898124,29662,253802,7225,133217,0,10793,2938044
2016,612,14154306,2396770,3506496,867219,2639277,6282223,1701604,267213,-108539,1369318,1279416,89902,10798278,8344971,0,2366278,87029,1193115,120637,561443,28088558
2016,559,2470686,438192,959988,516251,443737,0,928608,143898,16336,2256867,181316,2075551,2565630,1971466,39053,536043,19068,300411,0,81191,7691121
2016,7,5961277,1167678,240502,203456,37046,0,1565078,2988019,-71090,876985,102382,774603,2427609,1874496,59628,476794,16691,185968,6210,3263675,12650634
2016,283,19871106,2586387,2832343,1086483,1745860,12370775,1709621,371980,-63878,2941956,346822,2595134,9619544,7599489,123608,1857765,38682,1071188,0,106024,33545940
2016,37,182474,13764,1539,0,1539,167171,,0,2054,185477,35008,150469,663112,535510,0,127602,0,44421,0,382208,1459746
2016,153,18286970,1204986,3397235,1120028,2277207,12121711,1389408,173630,-109851,4193744,301894,3891850,7250579,5607215,26520,1541442,75402,1096840,339804,824735,31882821
2016,547,29019861,14565671,6565284,1174801,5390483,1891395,3679379,2318132,1785603,1573337,770543,802794,65996894,52629086,0,13338118,29690,0,0,143271,98518966
2016,397,1071890,125206,461148,461148,0,0,179280,306256,0,159371,127361,32010,7910685,6110715,0,1799970,0,0,0,0,9141946
2016,556,13860132,7358480,3316148,625355,2690793,155610,1627252,1402642,0,2207104,803388,1403716,44129906,36300674,0,7829232,0,0,0,125617,60322759
2016,42,224234,31367,6509,0,6509,0,105403,80955,0,163499,51359,112140,967462,715858,38224,209678,3702,68754,0,219015,1642964
2016,31,1149281,66840,166352,0,166352,45314,101245,769530,-6518,540855,107557,433298,3628205,2748114,151407,716751,11933,384419,0,-208651,5487591
2016,740,120067343,52365402,41963485,11831984,30131501,8039482,9612847,8086127,-790198,9591422,2901102,6690320,225267812,176832253,0,48196759,238800,0,0,190168,354326547
2016,217,2488563,569887,1279960,225525,1054435,14842,515850,108024,-6748,4834685,194946,4639739,7636141,6358077,18000,1779878,-519814,859716,98594,5756909,21667860
2016,863,1152645,162727,568960,199860,369100,184251,211564,25143,-7765,1379998,117741,1262257,3136468,2387816,39656,660296,48700,363667,57286,185455,6267754
2016,889,100011234,42753400,32065024,9301607,22763417,10155971,9287378,5749461,-323417,9416300,3057827,6358473,174511587,138535366,0,35754764,221457,6293099,,46368,289955171
2016,984,9180753,735338,136159,55052,81107,0,5314551,2994705,-163767,2706707,429981,2276726,9057583,6901559,151374,1937616,67034,1473406,876784,306060,23437526
2016,1106,1576794,423326,323742,39084,284658,524763,265879,39084,52134,539788,41023,498765,776295,585490,1827,186097,2881,452977,8746,9451,3416185
2016,34,272424,25371,54104,0,54104,1639,47638,143672,0,256755,46021,210734,757775,591466,0,166309,0,27282,0,18286,1332522
2016,791,5931368,1452763,2064629,1974622,90007,1008123,492041,913812,-8467,2557357,353955,2203402,10844291,8745549,185306,1893147,20289,1160928,133509,875563,21494549
2016,181,445549,227028,64938,1081,63857,118155,23298,12130,0,188497,65712,122785,1110933,872554,4128,234184,67,146461,0,0,1891440
2016,430,1252867,72060,642346,365050,277296,246687,282591,9183,-13412,632804,65592,567212,2289561,1651570,0,569511,68480,232798,0,0,4394618
2016,715,39671398,20348505,12994863,5544921,7449942,0,5081948,1246082,-204570,5445915,1136524,4309391,62279741,49165140,63626,12506008,544967,2118962,2163530,355572,111830548
2016,521,1926035,310024,450090,209748,240342,1025192,37154,103575,-17992,782671,94007,688664,3045542,2360007,63999,620048,1488,291638,460862,-41807,6446949
2016,524,11155126,1850198,3474504,1948556,1525948,3990367,873155,966902,19239,2346004,597634,1748370,12001815,9301978,42283,2569992,87562,1191003,417418,624441,27755046
2016,432,638875,23998,122231,45808,76423,330239,133094,29313,-332,283095,39798,243297,987264,785097,18148,183470,549,140698,-164399,24057,1909258
2016,19,153691,32689,102023,0,102023,18979,0,0,0,465763,52540,413223,398145,304222,,92909,1014,68061,0,10403,1096063
2016,25,141603,24420,1451,0,1451,0,12315,103417,0,450113,19471,430642,678983,517347,0,159161,2475,9325,0,6217,1286241
2016,26,584481,95964,11292,0,11292,202725,15273,259227,0,442035,75250,366785,1267214,999848,0,267156,210,89474,0,0,2383204
2016,890,70027235,32126470,21793053,9596792,12196261,2670956,10111230,3325526,0,5700070,3100634,2599436,121492225,98786992,5106,22690845,9282,0,0,4311899,201531429
2016,904,7398072,3414822,1989710,211103,1778607,1027316,826127,140097,0,1048805,301904,746901,16904252,13798043,6507,3099702,0,0,0,7349,25358478
2016,957,211811738,112049839,29867749,8759475,21108274,64217784,2684925,2991441,0,16308607,1222580,15086027,158741053,130010925,0,28669906,60222,0,0,1470219,388331617
2016,939,133060683,64803029,50126879,16981227,33145652,6309349,5928512,5892914,427986,11481442,1738587,9742855,177654243,144335827,0,33058528,259888,0,0,830762,323455116
2016,236,6567138,2879674,119047,0,119047,2712931,777875,77611,-35947,1309892,414538,895354,7772707,6129673,0,1629569,13465,692997,199215,323816,16829818
2016,735,97348333,49848145,24625297,6607912,18017385,6153876,10665311,6055704,-1864405,10037147,2776669,7260478,217230053,171055755,0,45584138,590160,3502843,0,1033952,327287923
2016,146,2871508,1598209,0,0,0,0,471389,801910,0,212017,212017,0,15934386,12078961,141374,3390035,324016,247292,0,142971,19408174
2016,363,8312718,689499,2636843,1242941,1393902,2939017,1624089,423270,24658,1821882,430678,1391204,13788846,10750241,10616,2920732,107257,1656292,178256,414810,26197462
2016,187,10153114,1229902,4469558,2606489,1863069,2456474,1526637,470543,70605,4732608,407729,4324879,11229650,8971384,23170,2113933,121163,618806,75482,121413,27001678
2016,265,2463496,492527,194682,25319,169363,1451098,285839,39350,-6452,434077,329114,104963,2183919,1645202,0,527454,11263,440883,14626,50939,5581488
2016,295,5914793,947181,795513,114909,680604,3189101,903288,79710,-34259,1365955,350500,1015455,4647224,3642807,8941,995476,0,1135308,0,212579,13241600
2016,496,7212864,1456923,4770188,1682109,3088079,80087,905666,,-17922,8197038,362658,7834380,12614691,10029491,50811,2572115,-37726,1012943,237971,14669260,43926845
2016,77,461561,127125,0,0,0,0,126464,207972,0,9069,9069,0,4338940,3265230,15508,903122,155080,48650,0,33147,4891367
2016,391,547065,431817,0,0,0,0,107845,7403,-9258,649545,18901,630644,857271,633467,17100,206704,0,178514,0,53328,2276465
2016,240,5294054,1094143,3308417,1502977,1805440,36121,855373,,469211,3782813,185874,3596939,8801798,6980884,54000,1798878,-31964,731670,103826,4524150,23707522
2016,448,2212723,738441,1324367,38438,1285929,0,0,149915,358175,1832336,392207,1440129,19534191,15838982,0,3695209,0,0,0,0,23937425
2016,151,722632,237942,138882,0,138882,0,74885,270923,0,28526,10196,18330,5889810,4480565,0,1409245,0,0,0,61777,6702745
2016,425,1829165,384907,711840,36492,675348,0,638442,93976,,475745,154233,321512,11964293,9122138,615123,2227032,0,0,0,0,14269203
2016,300,5149575,213971,814113,214558,599555,2798696,1144762,178033,72901,1307806,122248,1185558,3852470,3077264,5867,750605,18734,359402,136370,121348,10999872
2016,339,6883819,1915734,4488260,1218367,3269893,13208,465444,1173,-7614,4163109,282479,3880630,8156053,6557373,0,1705840,-107160,967840,159905,7510144,27833256
2016,874,16924407,10436894,5776136,921055,4855081,0,173033,538344,-345466,5480634,716421,4764213,64785814,51846508,0,12870503,68803,1064199,0,37193,87946781
2016,905,109650220,52144448,43805714,9646190,34159524,0,9383617,4316441,172164,9303676,2218880,7084796,191922187,155648426,0,36168840,104921,3683360,0,9016573,323748180
2016,736,184885963,71933204,55470979,15227771,40243208,6849147,50176477,456156,127305,5288909,1281272,4007637,208822718,163828244,,44402085,592389,2174877,0,0,401299772
2016,459,666619,55574,36541,8877,27664,0,96723,477781,0,404289,36022,368267,2513455,1882902,0,537487,93066,367260,0,67801,4019424
2016,320,4587818,202336,583391,208589,374802,2553525,1138127,110439,4557,822697,210130,612567,4436614,3235138,0,999224,202252,615941,28085,7785,10503497
2016,45,1567883,257079,20959,0,20959,0,460088,829757,21983,772527,385660,386867,6959212,5158556,131147,1628448,41061,676896,2916,538241,10539658
2016,618,15421423,5228318,4588701,1005609,3583092,345202,4873386,385816,0,638045,581111,56934,29747493,23598670,0,6128823,20000,0,0,119998,45926959
2016,463,26470415,13495418,6213924,1512087,4701837,1121243,5346112,293718,110000,4483497,1291938,3191559,48364447,38324871,45313,9986773,7490,0,0,0,79428359
2016,891,9949060,2173658,4526570,1858073,2668497,1231300,1668053,349479,-9336,3496486,436344,3060142,6331558,4910854,0,1403502,17202,474653,172255,102359,20517035
2016,958,37512586,20324844,10255024,2674335,7580689,2530687,2557088,1844943,-54544,2562819,996331,1566488,62837047,49752406,0,13000789,83852,0,0,204442,103062350
2016,244,1311585,450268,101907,0,101907,0,712259,47151,918,598950,96906,502044,1655539,1267097,0,385825,2617,299204,5733,147267,4019196
2016,28,413477,103983,2191,0,2191,0,141116,166187,0,58619,38669,19950,1322095,1004708,0,317387,0,0,0,827,1795018
2016,444,7281625,398860,1380076,99248,1280828,513133,4884961,104595,-223076,587722,165885,421837,2651746,1996439,84198,559253,11856,573938,0,388721,11260676
2016,479,1047981,220228,179746,0,179746,42723,537632,67652,0,351630,148169,203461,2598026,1978116,0,605382,14528,259028,0,4695,4261360
2016,285,11644608,3501893,2964887,163492,2801395,4502550,299927,375351,-51472,1630656,349608,1281048,11333627,8533488,90120,2656461,53558,973928,0,122282,25653629
2016,253,32402479,4487760,5514501,1851199,3663302,15890619,6072659,436940,-174835,7603138,886104,6717034,12533065,9843000,21196,2656250,12619,1189244,138529,404671,54096291
2016,481,6067355,1241902,939023,115634,823389,3501772,128085,256573,2202,2443718,198363,2245355,3330334,2583757,29624,707135,9818,303119,581635,4734,12733097
2016,540,13769824,2071761,2990666,1420,2989246,6187863,1737322,782212,-399410,2192897,382737,1810160,9368353,7347952,2935,1976670,40796,0,0,0,24931664
2016,332,175059,19894,72099,0,72099,69900,0,13166,0,69554,12974,56580,292099,232747,0,59352,0,19423,0,5822,561957
2016,41,115181,6025,230,0,230,0,0,108926,0,162240,50205,112035,743817,600602,0,142340,875,9500,0,0,1030738
2016,510,4331256,359906,450627,51327,399300,3109445,212365,198913,210030,945557,191542,754015,3030038,2385105,0,644231,702,203886,55073,130823,8906663
2016,305,1048692,89997,112233,0,112233,276696,521780,47986,-1224,346357,6970,339387,4607865,3620123,1588,953786,32368,170562,0,13258,6185510
2016,708,18507102,5756604,5601288,1875541,3725747,1891008,4765368,492834,0,1166945,806712,360233,38784763,30778524,13163,7980766,12310,0,0,0,58458810
2016,755,227955461,99908010,75079651,21540322,53539329,19406599,19634605,13926596,0,29227676,5388709,23838967,332708833,258428877,8176663,65143864,959429,0,0,6395557,596287527
2016,750,125867360,55872959,44155048,12502498,31652550,7008947,9544638,9285768,0,16793084,2952231,13840853,209368408,168472417,0,40895991,0,0,0,6150667,358179519
2016,696,76254585,29148769,20627405,5566635,15060770,8935001,14949685,2593725,0,2497823,1846057,651766,122589106,97829127,0,24759979,0,0,0,150329,201491843
2016,421,7355858,209655,2630226,1348751,1281475,2492867,1898608,124502,34492,1405966,556507,849459,8146737,6213796,0,1777452,155489,865022,0,11539,17819614
2016,827,189827,180469,7559,100,7459,638,1161,0,0,0,0,0,6113415,5626209,0,465117,22089,0,0,0,6303242
2016,933,16524481,1566030,9373069,3459986,5913083,1693962,3366162,525258,22408,4562163,1254891,3307272,34692529,27299539,34089,7102602,256299,2618446,524644,210612,59155283
2016,1030,11939129,1482141,1942390,1924926,17464,7654153,594868,265577,-24297,4063580,546418,3517162,5490018,4122005,29750,1339484,-1221,1179912,53537,774134,23476013
2016,1003,3230722,184457,825825,99858,725967,1120490,804393,295557,-71893,888780,260264,628516,9688155,7686784,2988,1931388,66995,262654,0,37277,14035695
2016,1050,1537952,75256,288582,36365,252217,478809,607911,87394,-8088,640566,155136,485430,5037276,3966897,1063,1036294,33022,324037,0,425,7532168
2016,1043,9563388,669826,1924786,43416,1881370,5128951,1678027,161798,4892,3411823,372818,3039005,6282578,4938968,0,1317075,26535,114313,71977,47648,19496619
2016,1128,3267247,222748,934615,403875,530740,873126,991747,245011,13995,1294538,375435,919103,11984564,9519696,2349,2387439,75080,608322,0,433,17169099
2016,934,21705511,10416684,6251142,1218330,5032812,1382021,1817218,1838446,41557,1769724,1017621,752103,51192686,40684661,0,10476776,31249,0,0,255734,74965212
2016,629,52663851,15679450,21121149,5495097,15626052,7166484,7200623,1496145,69540,4987455,1976193,3011262,69724257,56172157,0,13268404,283696,1825807,122194,3108055,132501159
2016,21,2386779,109115,322446,0,322446,475712,1362813,116693,2661,668202,201915,466287,10653659,8366780,0,2275268,11611,379997,15576,37808,14144682
2016,615,24105496,8910026,5796154,1268337,4527817,4193368,3657333,1548615,609017,3933290,849462,3083828,34522514,27375949,76018,6978153,92394,1736697,25009,960198,65892221
2016,626,2628315,135467,607566,105797,501769,1616156,132381,136745,-7677,1449959,161483,1288476,3365079,2481573,100000,709432,74074,484394,638,508159,8428867
2016,417,725171,80115,419523,0,419523,13831,190706,20996,-197438,395739,34607,361132,1294725,970568,725,299976,23456,182648,0,20809,2421654
2016,597,6511738,1189743,1488070,853071,634999,1838564,1726963,268398,-51589,823382,379242,444140,12813191,10048043,0,2713885,51263,352991,121304,28447,20599464
