año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2016,192,0,0,0,0,0
2016,382,0,0,0,0,0
2016,322,0,0,0,0,0
2016,478,0,0,0,0,0
2016,352,0,0,0,0,0
2016,628,944,336,1311,138,0
2016,291,0,0,0,0,0
2016,495,0,0,0,0,0
2016,845,675,192,877,71,0
2016,498,205,79,284,26,0
2016,314,0,0,0,0,0
2016,720,0,0,0,0,0
2016,721,1413,375,1817,165,1
2016,485,0,0,0,0,0
2016,273,38,17,55,0,0
2016,846,1259,238,1526,103,0
2016,847,0,0,0,0,0
2016,848,1348,752,2149,101,0
2016,916,0,0,0,0,0
2016,930,518,188,711,40,0
2016,954,1532,306,1883,95,0
2016,943,0,0,0,0,0
2016,949,4162,1509,5915,769,0
2016,980,1155,419,1611,81,0
2016,981,0,0,0,0,0
2016,1024,1034,412,1446,79,0
2016,1017,0,0,0,0,0
2016,1000,0,0,0,0,0
2016,1018,1042,178,1232,82,0
2016,1001,451,424,894,52,0
2016,1007,1772,456,2228,144,0
2016,1008,730,186,930,54,0
2016,1009,1709,443,2180,153,0
2016,1010,813,209,1040,61,0
2016,1011,548,116,673,54,0
2016,1012,1312,343,1684,118,0
2016,1013,2394,604,3089,232,0
2016,1041,0,0,0,0,0
2016,1073,1986,434,2455,113,0
2016,1087,1824,244,2116,89,0
2016,1109,503,118,627,31,0
2016,1110,889,336,1230,17,0
2016,1112,0,0,0,0,0
2016,789,0,0,0,0,0
2016,326,0,0,0,0,0
2016,442,794,542,1332,95,4
2016,294,254,182,454,36,0
2016,378,296,227,529,23,0
2016,402,0,0,0,0,0
2016,29,0,0,0,0,0
2016,450,0,0,0,0,0
2016,656,574,198,770,40,0
2016,333,317,179,504,19,0
2016,668,447,166,586,28,0
2016,684,769,220,990,54,0
2016,422,0,0,0,0,0
2016,763,2994,1180,4317,528,0
2016,741,1335,401,1735,67,0
2016,553,2155,569,2770,245,0
2016,357,0,0,0,0,0
2016,899,0,0,0,0,0
2016,900,0,0,0,0,0
2016,932,0,0,0,0,0
2016,950,0,0,0,0,0
2016,966,173,102,292,8,0
2016,967,0,0,0,0,0
2016,982,0,0,0,0,0
2016,1014,0,0,0,0,0
2016,1080,957,308,1329,122,0
2016,1074,0,0,0,0,0
2016,1084,0,0,0,0,0
2016,1113,24,26,50,0,0
2016,722,5660,1567,7358,611,0
2016,660,0,0,0,0,0
2016,75,0,0,0,0,0
2016,249,441,338,798,31,0
2016,275,0,0,0,0,0
2016,227,474,353,835,27,0
2016,150,0,0,0,0,0
2016,47,0,0,0,0,0
2016,172,0,0,0,0,0
2016,581,404,143,552,21,0
2016,120,0,0,0,0,0
2016,445,0,0,0,0,0
2016,471,0,0,0,0,0
2016,53,0,0,0,0,0
2016,199,0,0,0,0,0
2016,575,876,292,1167,31,0
2016,528,386,123,509,24,0
2016,631,1205,417,1633,124,0
2016,699,0,0,0,0,0
2016,823,0,0,0,0,0
2016,849,0,0,0,0,0
2016,869,0,0,0,0,0
2016,955,0,0,0,0,0
2016,983,0,0,0,0,0
2016,1002,0,0,0,0,0
2016,1015,2087,675,2818,177,0
2016,51,0,0,0,0,0
2016,441,0,0,0,0,0
2016,327,0,0,0,0,0
2016,690,226,68,303,26,0
2016,262,129,43,173,8,0
2016,403,0,0,0,0,0
2016,312,0,0,0,0,0
2016,589,349,76,426,18,0
2016,665,725,143,882,0,0
2016,334,0,0,0,0,0
2016,1075,3358,611,4067,348,0
2016,751,1048,416,1484,113,0
2016,186,0,0,0,0,0
2016,646,127,24,151,8,0
2016,536,84,27,84,0,0
2016,242,0,9,9,0,0
2016,490,0,0,0,0,0
2016,500,176,87,263,0,0
2016,206,0,0,0,0,0
2016,58,0,0,0,0,0
2016,572,740,137,890,60,0
2016,180,0,0,0,0,0
2016,549,85,36,121,7,0
2016,582,194,62,258,15,0
2016,743,1347,343,1724,160,1
2016,795,0,0,0,0,0
2016,269,0,0,0,0,0
2016,634,0,0,0,0,0
2016,1,30,17,47,0,0
2016,717,253,112,369,24,0
2016,373,0,0,0,0,0
2016,535,282,69,353,21,0
2016,824,1763,403,2218,235,0
2016,888,155,39,194,7,0
2016,902,0,0,0,0,0
2016,968,0,0,0,0,0
2016,346,0,0,0,0,0
2016,27,0,0,0,0,0
2016,165,0,0,0,0,0
2016,956,723,239,975,64,0
2016,413,0,0,0,0,0
2016,149,0,0,0,0,0
2016,612,861,704,1614,73,1
2016,559,0,0,0,0,0
2016,7,0,0,0,0,0
2016,283,0,0,0,0,0
2016,37,0,0,0,0,0
2016,153,0,0,0,0,0
2016,547,951,297,1274,107,0
2016,397,0,0,0,0,0
2016,556,788,223,1024,8,0
2016,42,0,0,0,0,0
