año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2020,1094,0,1,0,1,0,1,0,1,0,1,0,1,0,0,"0",0,0,1,1,0,0,1,1,0,"0",1,0,1
2020,1124,1,1,0,1,1,0,0,0,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,0,1,0,0,1,0,"0",0,0,0
2020,663,1,1,1,1,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,552,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,0,1,0,0,1,0,"0",0,0,0
2020,568,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
2020,398,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,1,0,"0",0,0,0
2020,394,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,614,0,0,0,0,0,0,0,1,1,0,0,1,0,0,"0",0,0,1,0,0,0,1,1,0,"0",0,0,0
2020,235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"0",1,0,1,0,1,0,0,1,0,"0",0,0,0
2020,616,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,0,1,1,0,0,1,0,"0",0,0,0
2020,267,0,1,0,1,1,0,0,1,0,0,0,0,1,0,"0",1,0,1,1,1,1,0,1,0,"1",0,1,0
2020,565,0,0,0,0,1,0,0,1,0,0,0,0,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,220,0,1,0,1,1,0,0,1,0,0,0,0,1,0,"0",1,0,1,1,1,0,0,1,0,"0",1,0,0
2020,278,1,1,0,0,1,0,0,1,1,0,0,1,0,0,"0",1,1,1,1,0,0,1,1,0,"0",0,0,0
2020,107,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",1,0,1,0,1,0,0,1,0,"0",0,0,0
2020,204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",0,0,1,0,0,0,0,1,0,"0",0,0,0
2020,348,0,1,0,1,1,1,0,1,1,0,0,1,0,0,"0",1,0,1,1,1,1,0,1,0,"1",1,0,0
2020,766,1,1,0,1,1,0,0,0,1,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,761,0,0,0,1,0,1,0,0,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,1,0
2020,728,1,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,1,0,1,1,"1",1,0,0
2020,280,0,1,0,1,1,0,0,1,0,0,0,0,1,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,222,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"0",1,0,1,0,0,0,1,1,0,"0",0,0,0
2020,276,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
2020,11,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
2020,302,0,1,1,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,682,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,279,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,281,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"1",0,0,0,0,0,1,0,0,0,"1",0,0,0
2020,183,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,0
2020,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,1,0,0,0,0,0,0,"0",0,0,0
2020,116,0,0,0,1,0,1,1,0,1,0,0,1,0,0,"1",1,0,1,1,1,0,0,1,1,"1",1,0,0
2020,115,0,1,0,0,0,1,0,0,0,0,0,1,0,0,"0",0,1,1,1,0,0,1,0,0,"0",0,0,0
2020,114,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,770,0,1,0,0,1,0,1,0,1,0,0,1,0,0,"1",1,0,1,1,1,1,0,1,1,"1",0,1,0
2020,583,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,0,0,0,1,0,"0",0,0,0
2020,136,0,0,0,0,0,1,0,1,0,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,469,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",0,0,1,1,1,0,1,1,0,"0",1,0,0
2020,642,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,1,1,1,1,0,1,1,0,"0",0,0,0
2020,674,0,0,0,0,0,0,1,0,0,0,0,0,0,1,"1",1,0,1,1,1,1,0,1,0,"1",0,0,0
2020,193,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,1,0,0,0,0,1,0,"0",0,0,0
2020,526,1,1,0,1,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,1,0,1,0,0,0,0,"0",0,0,0
2020,630,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0",1,0,0,1,1,0,0,1,0,"0",0,0,1
2020,124,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"1",1,1,1,1,0,0,0,0,1,"1",0,0,0
2020,364,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,1,0
2020,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,1,0,1,0,0,0,0,"0",0,0,1
