"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;254,00;1412;689846;0;689846;0;691258
2010;705,00;18550;3311188;0;3311188;126863;3456601
2010;133,00;0;433460;;433460;0;433460
2010;33,00;0;0;0;0;0;0
2010;143,00;246436;536624;0;536624;3606;786666
2010;36,00;0;20263;0;20263;0;20263
2010;756,00;0;3415619;3415619;0;0;3415619
2010;662,00;0;601786;0;601786;0;601786
2010;192,00;0;65097;0;65097;0;65097
2010;382,00;17721;8507697;591421;7916276;0;8525418
2010;322,00;2653;1939364;0;1939364;6768;1948785
2010;478,00;0;2899097;0;2899097;0;2899097
2010;352,00;0;104683;0;104683;0;104683
2010;628,00;0;755013;0;755013;0;755013
2010;291,00;0;154130;0;154130;0;154130
2010;495,00;0;645646;0;645646;0;645646
2010;845,00;0;1687729;0;1687729;0;1687729
2010;498,00;0;781151;0;781151;0;781151
2010;314,00;0;110213;0;110213;0;110213
2010;720,00;32619;1486994;0;1486994;0;1519613
2010;721,00;0;786464;0;786464;0;786464
2010;485,00;0;7010;0;7010;0;7010
2010;273,00;26449;1941094;0;1941094;1062177;3029720
2010;846,00;352116;2330032;0;2330032;0;2682148
2010;847,00;1678;235814;0;235814;0;237492
2010;848,00;101111;2007534;0;2007534;0;2108645
2010;864,00;0;220000;0;220000;0;220000
2010;916,00;0;0;0;0;0;0
2010;930,00;1815;627564;0;627564;0;629379
2010;954,00;21698245;2043461;;2043461;;23741706
2010;943,00;54359;991832;0;991832;0;1046191
2010;949,00;0;1488770;0;1488770;0;1488770
2010;980,00;16050;2727777;0;2727777;0;2743827
2010;981,00;0;0;0;0;0;0
2010;1024,00;20667;983887;0;983887;0;1004554
2010;1017,00;0;21829;0;21829;0;21829
2010;1000,00;140860;2492776;;2492776;0;2633636
2010;1018,00;37908;967645;0;967645;0;1005553
2010;1001,00;6798;261318;0;261318;0;268116
2010;1007,00;69518;965955;0;965955;0;1035473
2010;1008,00;0;489367;0;489367;0;489367
2010;1009,00;65262;945202;0;945202;0;1010464
2010;1010,00;0;153831;0;153831;0;153831
2010;1011,00;24166;4059216;0;4059216;253164;4336546
2010;1012,00;4744;660029;;660029;0;664773
2010;1013,00;0;0;0;0;0;0
2010;1041,00;0;49569;0;49569;0;49569
2010;789,00;898;3024005;0;3024005;0;3024903
2010;326,00;3651;198422;0;198422;0;202073
2010;442,00;48046;1950912;0;1950912;0;1998958
2010;294,00;9285;602512;0;602512;0;611797
2010;378,00;2232;245341;0;245341;0;247573
2010;402,00;325833;10843562;4358601;6484961;0;11169395
2010;29,00;0;34607;4276;30331;0;34607
2010;450,00;0;58744;0;58744;602;59346
2010;656,00;0;1925254;0;1925254;0;1925254
2010;333,00;0;240097;9197;230900;0;240097
2010;668,00;9444;0;0;0;256311;265755
2010;684,00;0;805768;0;805768;0;805768
2010;422,00;0;284751;0;284751;0;284751
2010;763,00;0;0;0;0;1265834;1265834
2010;741,00;0;2732559;0;2732559;0;2732559
2010;553,00;0;5707333;0;5707333;0;5707333
2010;357,00;0;96180;0;96180;0;96180
2010;899,00;0;53745;0;53745;0;53745
2010;900,00;0;1659570;0;1659570;59127;1718697
2010;932,00;3680;2622;0;2622;4568;10870
2010;950,00;0;280678;0;280678;0;280678
2010;966,00;0;0;0;0;0;0
2010;967,00;3321;464063;0;464063;26422;493806
2010;982,00;802;2310;;2310;0;3112
2010;1014,00;0;46679;0;46679;0;46679
2010;1048,00;0;7166;0;7166;0;7166
2010;1080,00;183837;315920;0;315920;0;499757
2010;722,00;236963;10607964;0;10607964;0;10844927
2010;660,00;2397;1834508;0;1834508;0;1836905
2010;75,00;0;26332;0;26332;0;26332
2010;249,00;0;964398;0;964398;0;964398
2010;275,00;0;327863;98375;229488;0;327863
2010;227,00;3330;726135;363002;363133;0;729465
2010;150,00;79005;21130;0;21130;0;100135
2010;47,00;410;65120;0;65120;0;65530
2010;172,00;2290;103414;0;103414;0;105704
2010;581,00;0;1134401;0;1134401;0;1134401
2010;120,00;5424;1758407;;1758407;;1763831
2010;445,00;0;394969;0;394969;0;394969
2010;471,00;0;2138536;0;2138536;0;2138536
2010;53,00;;37354;;37354;;37354
2010;199,00;3527;457596;149087;308509;0;461123
2010;575,00;745;751829;0;751829;0;752574
2010;528,00;0;1021256;50466;970790;0;1021256
2010;631,00;0;893378;0;893378;0;893378
2010;699,00;510403;2163296;0;2163296;0;2673699
2010;823,00;0;27521;0;27521;69698;97219
2010;849,00;0;539944;0;539944;0;539944
2010;869,00;;240578;;240578;540000;780578
2010;955,00;;5000;;5000;;5000
2010;983,00;1346;106732;;106732;0;108078
2010;1002,00;5051;1356306;0;1356306;0;1361357
2010;1015,00;79154;5462821;0;5462821;0;5541975
2010;703,00;0;6401606;0;6401606;0;6401606
2010;474,00;0;26506763;0;26506763;0;26506763
2010;51,00;0;0;0;0;0;0
2010;441,00;5081;186334;0;186334;63038;254453
2010;327,00;8212;132963;0;132963;0;141175
2010;690,00;216911;3730065;0;3730065;0;3946976
2010;262,00;67627;961950;291079;670871;;1029577
2010;403,00;0;59500;0;59500;31372;90872
2010;312,00;1177;521638;0;521638;0;522815
2010;507,00;0;4952664;0;4952664;0;4952664
2010;589,00;0;1241684;0;1241684;0;1241684
2010;665,00;0;4806430;0;4806430;58520;4864950
2010;334,00;0;0;0;0;0;0
2010;751,00;32106;168180;59000;109180;0;200286
2010;186,00;6960;608668;0;608668;0;615628
2010;646,00;0;187877;0;187877;0;187877
2010;536,00;0;34300;0;34300;0;34300
2010;242,00;6002;46039;0;46039;0;52041
2010;490,00;0;189905;0;189905;0;189905
2010;500,00;19000;2015104;0;2015104;0;2034104
2010;206,00;3649;814954;0;814954;0;818603
2010;58,00;0;0;0;0;0;0
2010;572,00;1389;334359;0;334359;0;335748
2010;180,00;0;36442;0;36442;0;36442
2010;549,00;0;11893;0;11893;0;11893
2010;582,00;0;2805;0;2805;0;2805
2010;743,00;98448;5264252;0;5264252;0;5362700
2010;795,00;53961;211498;0;211498;0;265459
2010;269,00;145;34257;0;34257;0;34402
2010;634,00;68354;742199;0;742199;0;810553
2010;1,00;0;46;0;46;0;46
2010;717,00;0;2504608;0;2504608;0;2504608
2010;373,00;0;167613;0;167613;0;167613
2010;535,00;0;0;0;0;0;0
2010;824,00;0;294386;0;294386;0;294386
2010;888,00;0;272895;0;272895;0;272895
2010;902,00;0;5607;0;5607;0;5607
2010;968,00;123;74261;0;74261;0;74384
2010;346,00;2154;523436;0;523436;0;525590
2010;27,00;9984;817561;0;817561;1077189;1904734
2010;165,00;3715;9979;0;9979;0;13694
2010;956,00;0;650117;0;650117;662058;1312175
2010;413,00;0;0;0;0;82413;82413
2010;149,00;0;120978;0;120978;0;120978
2010;612,00;40000;1464000;0;1464000;0;1504000
2010;559,00;4151;261352;0;261352;0;265503
2010;7,00;3549;146366;0;146366;0;149915
2010;283,00;1669;1831484;654291;1177193;0;1833153
2010;37,00;0;269089;79656;189433;0;269089
2010;153,00;81958;2791526;666023;2125503;;2873484
2010;547,00;0;2153;0;2153;0;2153
2010;397,00;0;81585;0;81585;0;81585
2010;556,00;0;0;0;0;0;0
2010;42,00;0;31094;0;31094;0;31094
2010;31,00;75487;273847;67657;206190;0;349334
2010;740,00;29042;469468;0;469468;0;498510
2010;217,00;1780;0;0;0;510709;512489
2010;863,00;0;1745;0;1745;204947;206692
2010;889,00;0;20035;0;20035;0;20035
2010;984,00;19574;1068772;0;1068772;0;1088346
2010;34,00;0;0;0;0;0;0
2010;791,00;47387;1109965;579864;530101;0;1157352
2010;181,00;47387;1109965;579864;530101;0;1157352
2010;430,00;0;0;0;0;0;0
2010;715,00;493000;1978000;0;1978000;308000;2779000
2010;521,00;21083;463292;0;463292;0;484375
2010;524,00;48632;933377;0;933377;0;982009
2010;432,00;0;71474;0;71474;102168;173642
2010;19,00;11570;117512;0;117512;0;129082
2010;25,00;0;9774;0;9774;0;9774
2010;26,00;;91182;;91182;;91182
2010;890,00;33478;445592;0;445592;0;479070
2010;904,00;0;270708;0;270708;0;270708
2010;957,00;0;50516;0;50516;640920;691436
2010;939,00;1311434;761209;0;761209;0;2072643
2010;236,00;5668;1232911;0;1232911;954;1239533
2010;735,00;0;6000;0;6000;0;6000
2010;146,00;0;180920;0;180920;0;180920
2010;363,00;5999;541854;0;541854;0;547853
2010;187,00;;424640;;424640;;424640
2010;265,00;27716;432000;0;432000;0;459716
2010;295,00;40882;358599;;358599;;399481
2010;496,00;1745;639452;73366;566086;0;641197
2010;77,00;0;300;0;300;0;300
2010;391,00;0;124961;0;124961;0;124961
2010;63,00;0;108231;0;108231;0;108231
2010;240,00;0;359151;0;359151;0;359151
2010;448,00;0;0;0;0;1500;1500
2010;151,00;;45877;;45877;9103;54980
2010;425,00;0;31061;0;31061;0;31061
2010;300,00;;0;;;36600;36600
2010;339,00;1885;1232960;0;1232960;0;1234845
2010;826,00;0;0;0;0;0;0
2010;874,00;0;85614;0;85614;0;85614
2010;905,00;65085;4596442;0;4596442;0;4661527
2010;736,00;0;405143;0;405143;0;405143
2010;459,00;0;437701;0;437701;0;437701
2010;320,00;8161;429445;0;429445;0;437606
2010;45,00;14338;653332;0;653332;82631;750301
2010;292,00;3000;1000;0;1000;0;4000
2010;618,00;0;108177;0;108177;0;108177
2010;463,00;;158811;;158811;;158811
2010;891,00;0;130166;0;130166;0;130166
2010;958,00;41427;551847;0;551847;0;593274
2010;244,00;0;45790;0;45790;0;45790
2010;28,00;0;9452;0;9452;0;9452
2010;444,00;0;1417622;0;1417622;0;1417622
2010;479,00;143960;293806;36083;257723;0;437766
2010;285,00;0;197979;0;197979;0;197979
2010;253,00;0;2840625;0;2840625;0;2840625
2010;481,00;26256;354380;0;354380;4579167;4959803
2010;540,00;0;6910352;;6910352;0;6910352
2010;332,00;;2866;0;2866;0;2866
2010;41,00;0;0;0;0;0;0
2010;510,00;0;38241;0;38241;29401;67642
2010;305,00;296032;185087;0;185087;0;481119
2010;708,00;0;412596;0;412596;0;412596
2010;755,00;17688;3614092;0;3614092;0;3631780
2010;750,00;0;4358010;0;4358010;0;4358010
2010;696,00;0;4810007;0;4810007;0;4810007
2010;434,00;0;176550;0;176550;0;176550
2010;421,00;0;133667;0;133667;0;133667
2010;827,00;0;0;0;0;0;0
2010;933,00;286412;292108;0;292108;0;578520
2010;1030,00;0;332000;0;332000;0;332000
2010;1003,00;0;231674;0;231674;0;231674
2010;1050,00;0;86935;0;86935;0;86935
2010;934,00;0;70424;0;70424;0;70424
2010;629,00;-2290;9531471;0;9531471;0;9529181
2010;21,00;36733;403723;0;403723;1469566;1910022
2010;615,00;20447;225541;0;225541;0;245988
2010;626,00;0;81761;0;81761;0;81761
2010;417,00;282;126390;0;126390;0;126672
2010;597,00;0;877194;0;877194;0;877194
2010;539,00;1382;1921167;0;1921167;0;1922549
2010;343,00;434;727837;0;727837;0;728271
2010;135,00;1063;61497;0;61497;178286;240846
2010;158,00;113800;2347848;0;2347848;0;2461648
2010;775,00;188450;23930309;48081;23882228;0;24118759
2010;177,00;0;1;0;1;0;1
