"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2010;41,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2010;510,00;3048;0;0;0;0;0;0;0;0;1012;0;0;0;2709;0;28207;0;0;0;1444;0;0;0;0
2010;305,00;0;0;0;0;0;0;0;0;0;680;0;0;0;0;0;10348;0;0;0;0;0;0;0;0
2010;708,00;4537;0;7;0;0;0;0;0;0;7782;0;0;0;0;0;75771;0;0;0;7479;0;0;0;0
2010;755,00;31467;0;194;2464;0;10548;0;13073;0;11952;2744;3845;0;17810;0;392332;118834;1880;0;60474;0;0;0;0
2010;750,00;20792;0;88;0;0;4297;0;6973;0;11494;65;0;0;9324;0;258615;64473;0;0;41908;0;0;0;0
2010;696,00;13714;0;24;233;0;0;0;0;0;13402;0;0;0;0;0;209715;72112;0;0;24532;0;0;0;0
2010;434,00;1995;0;1;0;0;0;0;0;0;2882;0;0;0;0;0;17442;0;0;0;1283;0;;;
2010;421,00;0;0;0;0;0;0;0;0;0;0;0;0;0;5115;0;23555;0;0;0;2030;0;;;
2010;827,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;933,00;9136;0;0;0;0;0;0;0;0;5367;0;0;0;4195;0;98761;0;0;0;8498;0;;;
2010;1030,00;6056;0;2;150;0;728;0;0;0;1969;0;0;0;3799;0;20283;0;0;0;2118;0;;;
2010;1003,00;2449;0;0;0;0;0;0;0;0;3650;0;0;0;0;0;20666;0;0;0;1198;0;;;
2010;1050,00;33;0;0;21;0;0;0;0;0;204;0;0;0;0;0;13090;0;0;0;611;0;;;
2010;934,00;9691;0;12;0;0;2344;0;0;0;5560;0;0;0;1110;0;57041;0;0;0;7704;0;0;0;0
2010;629,00;12575;0;68;533;0;3410;0;5218;0;8027;0;0;0;9577;0;84614;0;0;0;15093;0;0;0;0
2010;21,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;615,00;7255;0;15;0;0;1876;0;0;0;4699;0;0;0;7166;0;0;0;0;0;7214;0;;;
2010;626,00;1472;0;0;0;0;731;0;0;0;1163;0;0;0;0;0;8281;0;0;0;0;0;;;
2010;417,00;1625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10979;0;0;0;0;0;0;0;0
2010;597,00;0;0;0;0;0;0;0;0;0;3593;0;0;0;0;0;14207;0;0;0;1411;0;0;0;0
2010;539,00;12980;0;0;0;0;0;0;0;0;8116;0;0;0;0;0;14666;0;0;0;8593;0;0;0;0
2010;343,00;0;0;0;0;0;0;0;0;0;1475;0;0;0;0;0;16697;0;0;0;1313;0;0;0;0
2010;135,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2010;158,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1064;0;0;0;0;0;0;0;0
2010;775,00;9286;0;41;0;0;1465;0;0;0;5324;0;0;0;4107;0;63022;0;0;0;9052;0;0;0;0
2010;177,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1965;0;0;0;0;0;0;0;0
2010;578,00;1304;0;0;0;0;0;0;0;0;1828;0;0;0;0;0;11871;0;0;0;0;0;0;0;0
2010;416,00;282;0;0;0;0;410;0;0;0;885;0;0;0;2293;0;7963;0;0;0;0;0;;;
2010;561,00;5268;0;1;0;0;0;0;0;0;3029;0;0;0;0;0;45022;0;0;0;3612;0;0;0;0
2010;828,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2010;860,00;0;0;0;0;0;0;0;0;0;5674;0;0;0;0;0;26138;0;0;0;257;0;0;0;0
2010;935,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;936,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;986,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;987,00;3658;0;2;0;0;0;0;0;0;5116;0;0;0;0;0;53754;0;0;0;6345;0;;;
2010;1021,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
